YEAR,MONTH,DAY,RAINFALL,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_MEAN,RELATIVE_HUMIDITY,WIND_SPEED,WIND_DIRECTION,CLOUD,STATION_PRESSURE
2002,2,24,0,26.3,18.6,22.5,86,3,40,4,942
2002,2,25,0.6,24.4,18.5,21.5,92,3,40,5,942.5
2002,2,26,0,21.2,19.4,20.3,90,3,40,4,941.9
2002,2,27,0,22.5,19.4,21,90,2,40,5,940.7
2002,2,28,1,23,18.2,20.6,92,2,40,7,940.6
2002,3,1,0,25.3,17,21.2,84,2,20,3,939.7
2002,3,2,0,25,17,21,87,3,40,6,938.8
2002,3,3,0,25.3,17.2,21.3,82,6,40,7,938.6
2002,3,4,0,26,17.2,21.6,82,3,20,4,938.1
2002,3,5,0,27,18.5,22.8,81,1,360,4,937.9
2002,3,6,7,27,19.5,23.3,84,1,20,6,938.5
2002,3,7,0.3,22.9,18,20.5,94,4,20,5,940.7
2002,3,8,0,22.7,17.7,20.2,90,5,20,6,942.9
2002,3,9,0,23.1,17.8,20.5,93,3,40,4,942.6
2002,3,10,0,25.2,17.8,21.5,90,3,20,4,941.6
2002,3,11,0,25.4,19.3,22.4,88,2,40,4,940.9
2002,3,12,9.5,24.8,20.2,22.5,95,2,40,7,940.7
2002,3,13,20,25,20.2,22.6,88,2,20,4,940.5
2002,3,14,0,27.2,20.5,23.9,91,1,90,3,940.3
2002,3,15,0,28,19,23.5,84,2,40,2,939.3
2002,3,16,0,28.4,18.2,23.3,83,2,40,2,940.1
2002,3,17,0,28,18.5,23.3,84,2,40,2,941.3
2002,3,18,0,27.2,18,22.6,82,5,40,3,942.1
2002,3,19,0,25,19.2,22.1,85,4,40,5,941.8
2002,3,20,0,25.5,19.8,22.7,87,4,40,4,940.1
2002,3,21,0,27,21.5,24.3,85,2,20,3,938.7
2002,3,22,0,27.3,20,23.7,83,2,20,6,937.3
2002,3,23,27.3,27,20,23.5,95,2,20,8,937.6
2002,3,24,4.5,27.2,20.8,24,90,2,110,4,937.6
2002,3,25,0,28,20.7,24.4,90,2,40,4,939.1
2002,3,26,0,27,21.3,24.2,84,1,20,3,938.9
2002,3,27,0,29.5,20.7,25.1,86,1,20,3,939.2
2002,3,28,0,26.8,20,23.4,85,2,20,4,939.5
2002,3,29,0,27.5,20.1,23.8,79,1,40,3,940.2
2002,3,30,0,28.2,19.3,23.8,80,2,40,2,940.2
2002,3,31,0,28.1,19.7,23.9,82,3,40,2,940.8
2002,4,1,0,28.2,19.3,23.8,83,2,70,2,941.4
2002,4,2,0,28,21.4,24.7,74,1,70,1,939.8
2002,4,3,0,29.7,20.2,25,76,1,90,1,936.8
2002,4,4,0,29,20.5,24.8,81,1,360,3,937.4
2002,4,5,0,29,19.2,24.1,84,1,40,2,938.8
2002,4,6,0,28.8,19,23.9,84,1,40,2,940.1
2002,4,7,0,29.2,18.6,23.9,83,2,90,1,939.7
2002,4,8,0,29,20,24.5,79,1,90,2,939.2
2002,4,9,0,29,20,24.5,81,2,70,2,939
2002,4,10,0,28.5,20.6,24.5,83,5,40,2,939.4
2002,4,11,0,28.5,21.8,25.2,79,4,40,2,940.1
2002,4,12,0,29,19.2,24.1,82,4,40,5,940.8
2002,4,13,0,28.3,19.9,24.1,75,2,40,3,939.9
2002,4,14,2,28.7,21.5,25.1,86,2,40,5,939.7
2002,4,15,8.6,28.5,22.3,25.4,86,1,40,4,940.7
2002,4,16,0,27,19.7,23.4,85,3,90,3,940.9
2002,4,17,0,29.3,20.8,25.1,86,4,20,5,939.4
2002,4,18,3.2,28.5,20.3,24.4,86,5,20,5,939.5
2002,4,19,0,28.5,19,23.8,84,4,20,4,940.2
2002,4,20,0,28.6,20.5,24.5,84,4,40,3,939.1
2002,4,21,1.4,26.7,19.7,23.2,90,4,20,4,938.2
2002,4,22,8.2,25.3,20,22.7,87,5,20,7,938.5
2002,4,23,0,27,20.5,23.8,91,4,40,5,939.3
2002,4,24,0,27.5,20.5,24,88,4,40,4,938.2
2002,4,25,2,26.5,21.8,24.2,88,5,40,4,938.2
2002,4,26,0.6,27,20.1,23.5,82,4,20,4,938.7
2002,4,27,1.2,28.5,20.3,24.4,81,4,40,4,938.2
2002,4,28,0,28.6,21,24.8,79,3,40,5,938
2002,4,29,0,28.4,21.4,24.9,80,4,20,4,937.3
2002,4,30,0,29,21.5,25.3,82,3,20,3,937.1
2002,5,1,0,27,21.8,24.4,86,5,40,3,937.7
2002,5,2,0,29,22.2,25.6,85,5,20,3,938.5
2002,5,3,0,29,20,24.5,83,4,40,3,938
2002,5,4,0.2,28.2,19,23.6,88,4,40,3,937.3
2002,5,5,0,29,19.3,24.2,79,5,40,2,936.4
2002,5,6,0,29,20.5,24.8,80,4,90,2,936.3
2002,5,7,0,29,20,24.5,78,4,40,3,936.9
2002,5,8,0,29.5,21.5,25.5,72,4,20,3,938.3
2002,5,9,2.8,25,22.2,23.6,89,4,20,5,937.9
2002,5,10,0,31,22,26.5,83,4,20,4,938
2002,5,11,0,29.2,21.5,25.4,90,2,90,3,938.2
2002,5,12,0,30.1,21.3,25.7,78,3,90,3,939.2
2002,5,13,0,29.2,22.2,25.7,84,3,90,3,940
2002,5,14,0,31.5,21.2,26.4,76,3,90,3,940
2002,5,15,1,31.5,22.5,27,82,3,220,5,939
2002,5,16,13.3,30.5,21,25.8,87,1,20,5,937.8
2002,5,17,0,30.5,21.5,26,83,2,180,6,937.5
2002,5,18,0,29.8,21.6,25.7,82,2,290,5,936.9
2002,5,19,0,30.2,21.4,25.8,83,2,270,6,936
2002,5,20,0,27.8,21.7,24.8,90,3,270,7,936.4
2002,5,21,11.3,27,21.8,24.4,94,4,270,7,937.8
2002,5,22,19,26,21,23.5,96,5,270,6,938.5
2002,5,23,0,28.5,22.2,25.4,84,3,270,7,938.4
2002,5,24,0,29,21,25,89,4,270,5,938.6
2002,5,25,0.8,27,21.5,24.3,90,5,290,7,938.9
2002,5,26,12.2,25.7,20.8,23.3,95,4,290,7,938.2
2002,5,27,3.6,27.1,22.5,24.8,95,3,270,6,938.9
2002,5,28,0,27,21.5,24.3,92,3,270,5,939.1
2002,5,29,3.1,27.5,21.2,24.4,92,2,270,6,939.7
2002,5,30,0,28,22.6,25.3,86,4,270,6,938.2
2002,5,31,10,29,20.6,24.8,89,4,270,7,937
2002,6,1,1.8,25.3,18,21.7,97,4,290,7,936.6
2002,6,2,3.2,27.2,21,24.1,90,4,270,7,936.1
2002,6,3,13.7,28.2,20.5,24.4,92,4,280,6,936.5
2002,6,4,0,27.7,20.5,24.1,87,5,260,7,936.6
2002,6,5,0,28.2,20,24.1,88,4,260,6,936.9
2002,6,6,1,26.5,22.5,24.5,91,3,270,5,936.5
2002,6,7,2.4,27.3,21.8,24.6,94,4,270,6,935.8
2002,6,8,0.2,27,20.1,23.5,87,4,270,5,935.9
2002,6,9,6,28.5,21.2,24.9,85,4,270,4,936.9
2002,6,10,0,29.5,22.5,26,86,3,270,4,937.7
2002,6,11,0,29.7,22,25.9,88,4,360,4,937.7
2002,6,12,5.7,28.5,22.8,25.7,89,4,20,6,937
2002,6,13,0,30,22.8,26.4,92,3,90,4,936.6
2002,6,14,0,30.6,21.9,26.3,83,4,90,4,936.6
2002,6,15,0.3,30,21.7,25.9,81,4,70,4,937.1
2002,6,16,1.2,30.6,19,24.8,86,3,40,6,937.2
2002,6,17,1,30.4,21.8,26.1,83,3,90,4,937.6
2002,6,18,0,30.6,21.5,26,79,2,20,4,937.6
2002,6,19,1.9,30.1,21.5,25.8,85,3,90,6,936.4
2002,6,20,0.2,25,22,23.5,96,3,270,7,936
2002,6,21,4,27.8,21.8,24.8,95,3,140,8,937
2002,6,22,5.8,30.1,21.8,26,92,3,120,7,937.9
2002,6,23,4,29.5,21.9,25.7,84,2,220,4,939.5
2002,6,24,14.3,28.5,22.8,25.7,89,1,220,4,938.7
2002,6,25,1.1,30,21.5,25.8,88,2,270,5,938.8
2002,6,26,0,30.5,23.5,27,89,3,270,5,938.7
2002,6,27,0,30.6,23.5,27,78,2,20,5,938.1
2002,6,28,0.2,30.5,21.8,26.2,88,2,20,4,937.4
2002,6,29,0,30.3,22,26.2,91,2,110,4,936.1
2002,6,30,0,30.8,21.5,26.2,84,2,320,5,934.7
2002,7,1,6.4,30.8,21.2,26,89,2,270,6,934
2002,7,2,37.4,28.5,19.2,23.9,91,4,270,8,934.2
2002,7,3,13.3,24.5,21,22.8,100,5,270,8,934.1
2002,7,4,34.8,24,21.5,22.8,100,7,270,8,934.1
2002,7,5,49.3,24.5,19.1,21.8,99,6,270,8,933.9
2002,7,6,109.9,23.9,18.6,21.3,-999,8,270,8,933.5
2002,7,7,99.5,23.8,21.5,22.7,97,7,220,8,932.1
2002,7,8,26.5,24.5,21.5,23,99,9,220,8,931.9
2002,7,9,6.3,24,21.8,22.9,100,7,220,8,931.9
2002,7,10,13,24.8,21.8,23.3,98,6,220,8,932.5
2002,7,11,16.2,25,19.6,22.3,100,6,250,8,933.4
2002,7,12,111.3,24.3,18.9,21.6,95,6,250,8,934.1
2002,7,13,42.5,24.1,19,21.5,98,6,290,8,933.5
2002,7,14,14.1,24,18.5,21.3,100,7,220,8,934.9
2002,7,15,10.4,26.1,19.7,22.9,94,5,270,7,938.1
2002,7,16,0,28,20.5,24.3,82,3,270,2,939.1
2002,7,17,0,29,21.8,25.4,89,3,270,4,938.3
2002,7,18,10.8,28,24,26,85,2,270,5,937.7
2002,7,19,55.6,29,19,24,91,2,290,6,937.1
2002,7,20,118.3,24.4,18.5,21.5,-999,6,320,8,934.1
2002,7,21,24.7,24.1,19.5,21.8,100,5,270,8,934.4
2002,7,22,4.3,24.4,20,22.2,97,6,270,8,935.1
2002,7,23,0.6,24.3,21,22.7,91,6,270,6,935.9
2002,7,24,23.1,25.8,21,23.4,95,6,270,8,936.2
2002,7,25,77.4,23.5,20.5,22,100,6,270,8,934.5
2002,7,26,9.9,25,18.8,21.9,100,4,270,8,934.2
2002,7,27,0,26.3,19.9,23.1,94,3,270,6,936.4
2002,7,28,0,27.5,20,23.8,90,4,270,6,937.1
2002,7,29,0,27.2,19.8,23.5,91,4,270,7,937.2
2002,7,30,13.4,27.5,18.1,22.8,93,5,290,8,935.4
2002,7,31,28.5,25.8,19,22.4,94,6,290,8,933.2
2002,8,1,12.5,22,19.5,20.8,96,7,250,8,933.8
2002,8,2,5.3,22.5,20.8,21.7,93,5,180,7,934.6
2002,8,3,8.1,26.2,19,22.6,86,4,200,8,935
2002,8,4,17.9,26.5,19.3,22.9,96,3,290,7,936.1
2002,8,5,0.3,28.2,21.7,25,87,4,290,5,937.9
2002,8,6,0,28.4,21.8,25.1,88,2,270,4,938.2
2002,8,7,0,27.5,22.6,25,94,3,250,7,938
2002,8,8,0,28,22,25,92,2,270,7,936.7
2002,8,9,55.6,27.6,18.5,23,97,3,270,7,936.7
2002,8,10,4.2,27.8,20,23.9,92,3,270,7,936.6
2002,8,11,0,26.6,20,23.3,93,2,350,6,936.6
2002,8,12,35.2,25.2,19.5,22.4,96,2,290,8,934.5
2002,8,13,95.4,23.8,20,21.9,100,2,270,8,931.7
2002,8,14,9.8,25.5,21.8,23.7,96,2,90,7,931.5
2002,8,15,5.4,25.5,19.6,22.5,95,2,320,8,931
2002,8,16,6.2,26.2,19.5,22.9,95,2,220,8,931.7
2002,8,17,4,25.1,20,22.5,91,3,180,7,932.8
2002,8,18,0.2,25.3,21,23.2,91,3,200,7,934.8
2002,8,19,0,27.5,22,24.8,84,4,270,5,938.2
2002,8,20,6.8,28.5,21.5,25,82,4,320,7,938.2
2002,8,21,0.5,25,21.4,23.2,95,1,270,6,938.2
2002,8,22,0,27.5,20.7,24.1,94,2,320,4,938.5
2002,8,23,40.3,28.5,19.9,24.2,92,1,290,6,939.4
2002,8,24,5.3,27.7,19,23.4,94,3,320,6,938.6
2002,8,25,25.8,28,19.2,23.6,88,1,260,6,937.3
2002,8,26,20.2,28.6,19.2,23.9,88,4,270,7,936.4
2002,8,27,5.7,27.2,21.7,24.5,95,2,220,6,935.8
2002,8,28,6.2,26.8,21.8,24.3,92,2,240,5,936.3
2002,8,29,40.1,29.5,20.5,25,92,2,270,6,936.2
2002,8,30,6.3,27.2,20.7,24,96,4,250,6,936
2002,8,31,0,27,21,24,89,4,250,6,987.1
2002,9,1,0,27,21,24,87,3,270,5,938.8
2002,9,2,0,27.5,21,24.3,91,2,270,5,938.5
2002,9,3,0,28.3,22.7,25.5,86,3,180,5,936.6
2002,9,4,0.1,27.2,21.8,24.5,92,3,270,5,936.2
2002,9,5,35.4,24.5,21.3,22.9,99,4,270,8,935.6
2002,9,6,7.4,24.2,18.8,21.5,99,4,250,8,933.8
2002,9,7,59.6,24,19,21.5,98,5,250,8,933.9
2002,9,8,47.3,24,21,22.5,94,4,190,7,935.9
2002,9,9,9.6,23,20.8,21.9,98,4,220,8,935.4
2002,9,10,14,24.5,21.5,23,92,3,220,8,936.7
2002,9,11,20.8,24,21.3,22.7,95,2,220,7,939
2002,9,12,36.8,25,21.8,23.4,92,2,270,8,940.6
2002,9,13,50,26.2,20.9,23.5,93,2,270,7,940.1
2002,9,14,1.6,27.5,19.3,23.4,91,3,270,6,939.9
2002,9,15,58.8,27.6,19,23.3,92,2,270,8,938.6
2002,9,16,2.4,24.1,17,20.5,98,4,270,8,937.5
2002,9,17,33.6,24,20.6,22.3,99,2,270,8,936.3
2002,9,18,3.4,27,20.8,23.9,93,3,270,6,937.6
2002,9,19,1.8,27,19.7,23.4,94,2,270,6,938.2
2002,9,20,0,26.5,19.7,23.1,95,2,290,6,936.6
2002,9,21,31,26.5,19.2,22.9,89,1,320,6,936.6
2002,9,22,13.1,28.1,19.2,23.7,94,1,270,7,937.4
2002,9,23,11.2,27.5,19.2,23.4,90,2,270,6,939.8
2002,9,24,0.1,28.5,22.5,25.5,84,2,320,5,940.5
2002,9,25,0.3,26.8,21.2,24,92,2,320,5,940.7
2002,9,26,0,27.5,20.8,24.2,90,2,340,4,939.7
2002,9,27,2.9,29.1,20,24.5,88,2,20,5,937.7
2002,9,28,1.1,26,21.9,24,96,2,320,6,937.3
2002,9,29,21.7,26.7,20.3,23.5,94,2,320,7,937.8
2002,9,30,0,27.6,21.2,24.4,90,2,320,7,937.7
2002,10,1,0.3,29.6,22.5,26,88,2,320,5,937.7
2002,10,2,10,29,20.9,25,91,3,360,5,938.3
2002,10,3,3.3,26,21,23.5,96,3,360,5,939
2002,10,4,5.5,25.2,20,22.6,99,3,20,7,937.6
2002,10,5,1.2,25.1,19,22,93,2,340,7,937
2002,10,6,2.2,25.2,19,22.1,93,1,350,8,937.1
2002,10,7,0,28.3,20.5,24.4,92,2,20,6,937.4
2002,10,8,0,28.8,23.3,26.1,86,2,90,4,937.4
2002,10,9,4.1,27.9,22,25,97,1,320,5,937.8
2002,10,10,9.5,27,21.7,24.4,63,2,320,5,937.8
2002,10,11,24.4,26.9,21.6,24.3,94,3,250,7,935.8
2002,10,12,6.4,27.1,21,24,94,2,250,6,936.1
2002,10,13,0,26,21,23.5,91,2,320,6,936.4
2002,10,14,3.4,26.6,21.4,24,92,2,40,6,937.2
2002,10,15,3,27,21.7,24.4,97,3,40,6,939.8
2002,10,16,3,23.5,20.5,22,98,3,40,7,939.6
2002,10,17,0,27.8,21.6,24.7,95,2,20,4,938.6
2002,10,18,0,26.3,20,23.2,96,2,40,4,937
2002,10,19,0,28,19.5,23.8,93,1,40,5,936.9
2002,10,20,0,28.5,20,24.3,88,2,360,4,937.3
2002,10,21,0,28.3,19.5,23.9,86,3,20,6,938
2002,10,22,0,28.5,22.4,25.5,88,3,20,4,937.7
2002,10,23,1.3,28.5,22.4,25.5,90,3,20,4,938.4
2002,10,24,0,28.5,21.7,25.1,93,3,40,4,939.8
2002,10,25,0,28.3,21.9,25.1,92,3,40,4,939.2
2002,10,26,0.3,28.3,20.2,24.3,82,3,20,5,939
2002,10,27,2.2,27.5,18.5,23,92,2,10,6,938.4
2002,10,28,30.8,26.5,18.5,22.5,91,3,20,7,938.3
2002,10,29,3,26.5,20.5,23.5,95,3,360,6,938.6
2002,10,30,0,26.5,20,23.3,95,1,20,5,939.8
2002,10,31,0,28,22.1,25,93,1,140,5,939.8
2002,11,1,0,27.5,21.8,24.7,92,2,40,4,938.8
2002,11,2,9.8,28.3,20,24.2,88,2,20,5,938.3
2002,11,3,16.2,24.3,18.6,21.5,96,3,340,8,938.8
2002,11,4,138.8,21.5,19,20.3,94,6,20,8,939.3
2002,11,5,1.2,23.5,20,21.8,89,6,20,7,938
2002,11,6,8.1,25.5,20.2,22.9,95,5,20,7,939.4
2002,11,7,0,23.5,19.8,21.7,98,2,20,6,939.2
2002,11,8,0,27.1,20,23.5,93,2,20,4,938.2
2002,11,9,130.6,27.5,19,23.3,94,4,40,7,939.6
2002,11,10,9.6,24,17,20.5,99,4,40,7,940.6
2002,11,11,1,24.5,19.2,21.9,91,5,40,6,940.8
2002,11,12,0.1,28,21.7,24.9,92,3,20,5,939.3
2002,11,13,0,27,21,24,96,3,20,4,937.9
2002,11,14,0,27.5,21.8,24.7,93,2,90,3,937.7
2002,11,15,0,27.3,21.5,24.4,90,2,40,3,937.5
2002,11,16,0.2,27.9,21.6,24.8,95,2,40,4,938.2
2002,11,17,1.8,28.3,20.5,24.4,94,4,40,5,938.5
2002,11,18,12.7,26.2,16.5,21.4,92,5,40,7,938.8
2002,11,19,0.3,23.5,21.5,22.5,88,6,20,6,938.4
2002,11,20,12.6,25,21.4,23.2,95,4,40,7,938.9
2002,11,21,3.7,26.5,21,23.8,96,3,360,6,937.6
2002,11,22,1.3,26.1,20,23,93,3,20,5,936.5
2002,11,23,0,27,17,22,87,2,20,6,936.4
2002,11,24,0.4,26.3,17.5,21.9,88,3,20,6,937.8
2002,11,25,1,22.8,17.5,20.2,92,2,360,8,940
2002,11,26,9.2,23,19.5,21.3,96,3,20,6,941.6
2002,11,27,11.2,22.8,19,20.9,97,6,40,7,942.6
2002,11,28,1,24,19.8,21.9,94,5,40,6,943.5
2002,11,29,0,25.5,19.5,22.5,93,3,40,4,941.9
2002,11,30,1.8,26.3,19.5,22.9,94,2,20,4,939.6
2002,12,1,1,24.1,20,22,89,3,340,7,939.3
2002,12,2,8,23.1,20.4,21.8,91,5,40,6,939.8
2002,12,3,4.8,23.5,21,22.3,94,5,40,6,941
2002,12,4,0,26.5,21,23.8,93,5,20,5,941.3
2002,12,5,4.2,24.5,19.5,22,95,6,40,5,941.7
2002,12,6,0,26,19.6,22.8,91,2,40,5,940.6
2002,12,7,0,26.1,19.8,23,91,3,20,3,940.3
2002,12,8,0,26.2,19.9,23,91,3,40,5,940.8
2002,12,9,7.8,26.6,18.9,22.8,87,3,20,6,940.8
2002,12,10,1.2,25.5,19.5,22.5,92,6,40,7,941.1
2002,12,11,0,25.7,18.6,22.2,92,6,40,6,942.3
2002,12,12,0,26.3,19,22.7,96,4,40,4,944.9
2002,12,13,6.1,25.1,18.8,22,93,5,20,7,943.4
2002,12,14,27,23.1,19.2,21.2,94,5,20,8,942.3
2002,12,15,0,23.4,20.2,21.8,93,5,20,7,942.2
2002,12,16,10.9,23.1,19.8,21.5,94,4,20,7,942.1
2002,12,17,7.8,24,20,22,98,6,40,8,940.6
2002,12,18,0,24.5,20,22.3,96,4,40,5,940.2
2002,12,19,0,26.5,19.1,22.8,95,4,40,5,939.2
2002,12,20,0,25.5,19.5,22.5,93,3,70,3,937.5
2002,12,21,0,27.1,19.3,23.2,87,2,40,3,937.6
2002,12,22,1.6,27.1,19,23,92,3,40,3,938
2002,12,23,0,26.3,18.9,22.6,91,4,40,5,938.3
2002,12,24,2.5,25.5,21.2,23.4,89,3,20,7,938.6
2002,12,25,0.4,26,19.3,22.7,96,5,40,4,938.9
2002,12,26,0,25,19.5,22.3,94,4,40,5,938.8
2002,12,27,0,27.1,19.7,23.4,93,3,40,3,937.7
2002,12,28,0,27.2,19.5,23.4,88,3,70,5,938.8
2002,12,29,0,28.1,20.5,24.3,90,3,90,4,939.2
2002,12,30,0,27.8,20.1,24,86,2,140,3,938.8
2002,12,31,2.2,26.5,20.9,23.7,96,3,40,5,939.7
2003,1,1,1,24.8,18.7,21.8,94,6,20,6,941.9
2003,1,2,0,23,18.8,20.9,92,6,40,5,942.8
2003,1,3,0,25,17.3,21.2,90,3,40,4,942.5
2003,1,4,0.4,24.1,17.4,20.8,85,4,20,4,942.5
2003,1,5,1,24,15,19.5,88,8,40,7,943.4
2003,1,6,0,22.5,15.5,19,91,7,40,7,942.7
2003,1,7,0,24.4,19,21.7,92,2,40,6,942.2
2003,1,8,0,25.5,20.2,22.9,92,5,20,5,941.4
2003,1,9,0,25.3,19.7,22.5,94,4,40,4,941.1
2003,1,10,0,26,19,22.5,94,2,20,4,940.4
2003,1,11,2.7,24.6,18.8,21.7,92,3,20,5,940.6
2003,1,12,0.8,24.5,17.9,21.2,93,4,40,6,941
2003,1,13,0.1,23.7,17.1,20.4,92,4,40,6,940.9
2003,1,14,5.2,23.9,17,20.5,98,4,40,7,941.1
2003,1,15,3.2,23.5,18,20.8,98,6,40,8,941.4
2003,1,16,0.1,23.5,17.8,20.7,87,6,40,5,942.6
2003,1,17,0,24.2,17,20.6,86,6,40,4,943.5
2003,1,18,0,24.3,16.7,20.5,86,3,40,4,942
2003,1,19,0,24,16.4,20.2,90,4,40,4,940.2
2003,1,20,0,24.2,16.2,20.2,84,4,20,4,941.1
2003,1,21,0,24.6,16.5,20.5,86,5,20,4,940.4
2003,1,22,0,26.3,14.8,20.6,91,3,110,5,939
2003,1,23,0,25.1,17.8,21.5,83,2,40,5,938
2003,1,24,0,25.5,18.5,22,91,5,20,5,939.5
2003,1,25,0,25,17,21,92,3,20,4,940.5
2003,1,26,0,25.5,16.4,21,87,3,20,3,940.5
2003,1,27,0,27.8,18.2,23,88,3,40,3,940.7
2003,1,28,0,28.1,18.5,23.3,83,5,40,4,941.6
2003,1,29,0,23,17.1,20,91,7,20,6,942.7
2003,1,30,0,23.5,18,20.8,88,6,20,5,944.2
2003,1,31,0,24.5,17.2,20.9,92,4,20,4,943.4
2003,2,1,0.2,26.2,17.1,21.7,92,3,40,3,941.8
2003,2,2,0,25.2,15.5,20.4,87,5,40,3,941.6
2003,2,3,1.7,23.5,16.8,20.2,90,5,40,6,941.9
2003,2,4,1,23,16.2,19.6,90,4,10,5,942
2003,2,5,0.1,22.5,17.8,20.2,92,5,40,5,942.5
2003,2,6,0,23,17.2,20.1,91,6,20,5,942.2
2003,2,7,0,24.5,18.2,21.4,94,5,40,4,940.8
2003,2,8,0,25.5,17.1,21.3,89,4,20,5,940.3
2003,2,9,0,26.3,16,21.2,89,3,40,3,940.4
2003,2,10,4,26.2,17.1,21.7,90,3,70,6,939.9
2003,2,11,9.7,26.3,18.1,22.2,96,4,40,4,940.2
2003,2,12,0.3,24.8,20.2,22.5,96,4,40,6,940.9
2003,2,13,0,24.3,20,22.2,95,6,40,5,941.7
2003,2,14,0,25.5,19,22.3,92,6,40,6,942.5
2003,2,15,0,25.5,18.9,22.2,88,5,40,4,941.2
2003,2,16,0,26.7,18.3,22.5,88,3,70,3,940.6
2003,2,17,0,26.2,18.4,22.3,86,3,40,2,939.6
2003,2,18,0,25.6,17.8,21.7,85,3,40,2,939
2003,2,19,0,25.5,18.1,21.8,86,3,20,4,938.2
2003,2,20,2.3,25.6,17.8,21.7,87,5,20,4,938.7
2003,2,21,0,24.5,18,21.3,99,5,40,7,942.4
2003,2,22,0,26.1,17.5,21.8,87,3,20,3,941.3
2003,2,23,0,26,17,21.5,83,3,20,3,940.5
2003,2,24,0,25,17.8,21.4,84,3,40,4,939.5
2003,2,25,0,23.9,17.9,20.9,84,4,40,5,939.8
2003,2,26,0,25,18.1,21.5,91,5,20,5,940.8
2003,2,27,0,26,17.5,21.8,85,6,40,4,940.7
2003,2,28,0,25.7,18.2,22,91,5,40,4,939.5
2003,3,1,0,27.1,18,22.5,90,3,20,2,937.8
2003,3,2,0,27.7,17.5,22.6,84,3,40,2,938.2
